CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
92783844,1,BANCO,IMPULSA,Ciudad de Mexico,547031.0595,COMPRA,MASCULINO,53.34444444,ENROLADO,1/4/2020
92789304,1,BANCO,EVEREST,Toluca,246760.5438,VENTA,FEMENINO,43.98888889,ENROLADO,1/4/2020
92857119,1,BANCO,ACTIMED,Jalisco,575248.0283,VENTA,MASCULINO,46.11944444,ENROLADO,1/4/2020
92893924,1,BANCO,IMPULSA,Ciudad de Mexico,1952568.308,COMPRA,FEMENINO,63.41111111,ENROLADO,1/4/2020
92911742,1,BANCO,ACTIGOB,Ciudad de Mexico,632967.9899,COMPRA,MASCULINO,35.09444444,ENROLADO,1/4/2020
92949445,1,BANCO,ALTERNA,Ciudad de Mexico,6143741.469,COMPRA,MASCULINO,47.33055556,ENROLADO,1/4/2020
92966043,1,BANCO,ACTIREN,Jalisco,322430.6309,COMPRA,MASCULINO,25.64166667,ENROLADO,1/4/2020
93112894,1,BANCO,ACTICOB,Jalisco,56480.38,VENTA,FEMENINO,42.90555556,ENROLADO,1/4/2020
93113892,1,BANCO,ACTVIDA,Ciudad de Mexico,242472.5896,VENTA,MASCULINO,65.08333333,ENROLADO,1/4/2020
93179620,1,BANCO,ACTIMED,Jalisco,5.38,TRASPASO OUT,MASCULINO,95.8,NO ENROLADO,1/4/2020
93201762,1,BANCO,CUENTA_EJE,Ciudad de Mexico,3689777.574,RETIRO,FEMENINO,38.90555556,ENROLADO,1/4/2020
93364446,1,BANCO,ACTIMED,Jalisco,538996.5354,VENTA,MASCULINO,74.21388889,NO ENROLADO,1/4/2020
93426997,1,BANCO,ACTIMED,Ciudad de Mexico,325063.0355,COMPRA,SIN GENERO,65.53333333,ENROLADO,1/4/2020
93449353,1,BANCO,ACTVIDA,Queretaro,269149.2456,COMPRA,FEMENINO,42.76944444,ENROLADO,1/4/2020
93469252,1,BANCO,ACTIVAR,Toluca,52216.98822,COMPRA,MASCULINO,37.60555556,ENROLADO,1/4/2020
93469252,1,BANCO,ACTIVAR,Ciudad de Mexico,49970.83051,COMPRA,MASCULINO,37.60555556,ENROLADO,1/4/2020
93556868,1,BANCO,CUENTA_EJE,Jalisco,845832.4557,RETIRO,MASCULINO,77.95,ENROLADO,1/4/2020
93557015,1,BANCO,ALTERNA,Ciudad de Mexico,87558.96589,VENTA,FEMENINO,57.61388889,ENROLADO,1/4/2020
93567980,1,BANCO,ACTVIDA,Toluca,680995.7861,VENTA,MASCULINO,65.13055556,ENROLADO,1/4/2020
93573350,1,BANCO,ACTVIDA,Toluca,744046.89,VENTA,MASCULINO,47.66944444,ENROLADO,1/4/2020
93586188,1,BANCO,ACTIMED,Ciudad de Mexico,4542969.308,VENTA,MASCULINO,88.8,ENROLADO,1/4/2020
93591667,1,BANCO,IMPULSA,Jalisco,94910.92482,VENTA,FEMENINO,76.41111111,NO ENROLADO,1/4/2020
93596872,1,BANCO,SNX,Jalisco,1667518.355,COMPRA,MASCULINO,40.10555556,ENROLADO,1/4/2020
93598837,1,BANCO,ACTIMED,Ciudad de Mexico,188421.3886,COMPRA,FEMENINO,47.52222222,ENROLADO,1/4/2020
93601185,1,BANCO,ACTIMED,Ciudad de Mexico,3094031.817,VENTA,MASCULINO,93.86388889,ENROLADO,1/4/2020
93654440,1,BANCO,ACTIMED,Ciudad de Mexico,62376.65254,COMPRA,FEMENINO,51.78611111,ENROLADO,1/4/2020
93688539,1,BANCO,IMPULSA,Ciudad de Mexico,66747.99,VENTA,FEMENINO,61.64444444,ENROLADO,1/4/2020
93691103,1,BANCO,ACTIREN,Ciudad de Mexico,1332764.367,COMPRA,MASCULINO,63.525,ENROLADO,1/4/2020
93705564,1,BANCO,IMPULSA,Jalisco,1344134.143,VENTA,FEMENINO,47.66666667,ENROLADO,1/4/2020
93727980,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,2136328.38,"DEP, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,44.13888889,ENROLADO,1/4/2020
93755577,1,BANCO,CUENTA_EJE,Ciudad de Mexico,427458.7878,RETIRO,MASCULINO,49.46388889,ENROLADO,1/4/2020
93755882,1,BANCO,ACTIGOB,Ciudad de Mexico,40166.778,COMPRA,MASCULINO,44.93333333,ENROLADO,1/4/2020
93757763,1,BANCO,ACTICRE,Ciudad de Mexico,1186958.538,VENTA,MASCULINO,65.95833333,ENROLADO,1/4/2020
93758019,1,BANCO,CUENTA_EJE,Jalisco,1470772.041,RETIRO,FEMENINO,43.86666667,ENROLADO,1/4/2020
93785855,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,183905.11,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,48.48611111,ENROLADO,1/4/2020
93800365,1,BANCO,CUENTA_EJE,Ciudad de Mexico,556627.2116,RETIRO,MASCULINO,47.53055556,ENROLADO,1/4/2020
93811636,1,BANCO,ALTERNA,Toluca,10483587,VENTA,MASCULINO,51.91111111,ENROLADO,1/4/2020
93814275,1,BANCO,ACTIMED,Ciudad de Mexico,89016.64821,COMPRA,FEMENINO,49.125,ENROLADO,1/4/2020
93834794,1,BANCO,CUENTA_EJE,Jalisco,320051.2181,RETIRO,FEMENINO,61.26666667,ENROLADO,1/4/2020
93841484,1,BANCO,ACTIG+,Jalisco,2201599.715,COMPRA,MASCULINO,60.11388889,ENROLADO,1/4/2020
93845683,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,10640629.32,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,53.08055556,ENROLADO,1/4/2020
93856649,1,BANCO,ACTIREN,Ciudad de Mexico,143365.9774,VENTA,MASCULINO,42.79444444,ENROLADO,1/4/2020
93866812,1,BANCO,ACTIGOB,Ciudad de Mexico,310950.999,COMPRA,FEMENINO,56.83333333,ENROLADO,1/4/2020
93866838,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,882910.78,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,29.16666667,ENROLADO,1/4/2020
93922987,1,BANCO,ACTIREN,Ciudad de Mexico,188378.5432,VENTA,MASCULINO,58.73888889,ENROLADO,1/4/2020
93926616,1,BANCO,ACTIMED,Ciudad de Mexico,379168.7989,VENTA,MASCULINO,58.16666667,NO ENROLADO,1/4/2020
93934958,1,BANCO,ALTERNA,Ciudad de Mexico,335550.2817,VENTA,FEMENINO,75.59722222,ENROLADO,1/4/2020
94051307,1,BANCO,ACTIMED,Ciudad de Mexico,7659.845548,COMPRA,MASCULINO,58.57777778,ENROLADO,1/4/2020
94275641,1,BANCO,ACTIREN,Ciudad de Mexico,104493.2477,VENTA,FEMENINO,40.56388889,ENROLADO,1/4/2020
94509148,1,BANCO,ACTIMED,Ciudad de Mexico,333248.6292,VENTA,FEMENINO,52.91111111,NO ENROLADO,1/4/2020
94543253,1,BANCO,ACTIMED,Ciudad de Mexico,534620.1415,VENTA,FEMENINO,69.09166667,NO ENROLADO,1/4/2020
94561065,1,BANCO,IMPULSA,Ciudad de Mexico,2756049.592,VENTA,FEMENINO,66.73055556,NO ENROLADO,1/4/2020
94630563,1,BANCO,ALTERNA,Jalisco,3557361.117,VENTA,FEMENINO,60.13888889,ENROLADO,1/4/2020
94669587,1,BANCO,CUENTA_EJE,Jalisco,627525.9427,RETIRO,MASCULINO,53.34722222,ENROLADO,1/4/2020
95162954,1,BANCO,ALTERNA,Ciudad de Mexico,394706.3471,VENTA,FEMENINO,86.91388889,ENROLADO,1/4/2020
95238481,1,BANCO,ACTIMED,Ciudad de Mexico,100.970615,COMPRA,MASCULINO,32.21111111,ENROLADO,1/4/2020
95261921,1,BANCO,ALTERNA,Ciudad de Mexico,788122.1134,COMPRA,FEMENINO,31.41666667,ENROLADO,1/4/2020
95270708,1,BANCO,ACTICOB,Jalisco,74533.69205,VENTA,MASCULINO,48.325,ENROLADO,1/4/2020
95314589,1,BANCO,ALTERNA,Ciudad de Mexico,2467488.571,VENTA,FEMENINO,71.05277778,ENROLADO,1/4/2020
95317301,1,BANCO,ACTIPLU,Ciudad de Mexico,1329609.559,VENTA,MASCULINO,54.06388889,ENROLADO,1/4/2020
95356788,1,BANCO,MAYA,Ciudad de Mexico,440843.8029,COMPRA,MASCULINO,38.05277778,ENROLADO,1/4/2020
95402194,1,BANCO,ACTI500,Saltillo,127159.5778,COMPRA,MASCULINO,36.72777778,ENROLADO,1/4/2020
95487088,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,100668.4,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,57.43055556,ENROLADO,1/4/2020
95487385,1,BANCO,ACTIREN,Jalisco,14244.4984,COMPRA,MASCULINO,44.09166667,ENROLADO,1/4/2020
95512042,1,BANCO,ACTICOB,Jalisco,1544874.072,VENTA,FEMENINO,23.87777778,ENROLADO,1/4/2020
95588000,1,BANCO,ALTERNA,Jalisco,1963743.713,TRASPASO IN,MASCULINO,59.51666667,NO ENROLADO,1/4/2020
95607420,1,BANCO,ACTIMED,Jalisco,164482.5746,COMPRA,FEMENINO,71.15833333,ENROLADO,1/4/2020
95672275,2,CASA DE BOLSA,VTLS-RF   ,Ciudad de Mexico,13023097.44,COMPRA                                                                                              ,MASCULINO,45.30555556,NO ENROLADO,1/4/2020
95697975,2,CASA DE BOLSA,ACTIREN   ,Jalisco,906558.17,VENTA                                                                                               ,MASCULINO,26.68333333,ENROLADO,1/4/2020
95715280,1,BANCO,ACTIMED,Ciudad de Mexico,311713.8595,VENTA,FEMENINO,41.63055556,ENROLADO,1/4/2020
95729224,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1963925.13,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,44.18055556,ENROLADO,1/4/2020
95735692,2,CASA DE BOLSA,ACTVIDA   ,Chihuahua,8486733.16,VENTA                                                                                               ,MASCULINO,66.31944444,NO ENROLADO,1/4/2020
95737763,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,255276.49,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,50.93611111,ENROLADO,1/4/2020
95790515,1,BANCO,ACTIMED,Jalisco,158906.7059,COMPRA,MASCULINO,54.61666667,ENROLADO,1/4/2020
95796512,1,BANCO,ACTICOB,Jalisco,177771.8402,VENTA,FEMENINO,39.01944444,ENROLADO,1/4/2020
95809810,1,BANCO,CUENTA_EJE,Toluca,0,RETIRO,FEMENINO,66.95,ENROLADO,1/4/2020
95811113,1,BANCO,ALTERNA,Cuernavaca,463675.0167,VENTA,FEMENINO,73.83611111,ENROLADO,1/4/2020
95815528,1,BANCO,ACTIMED,Queretaro,757278.1004,VENTA,MASCULINO,29.46944444,ENROLADO,1/4/2020
95830816,1,BANCO,ACTVIDA,Jalisco,34857.52025,VENTA,MASCULINO,47.63888889,NO ENROLADO,1/4/2020
95877403,1,BANCO,ACTIMED,Jalisco,3755201.75,VENTA,MASCULINO,77.21944444,NO ENROLADO,1/4/2020
95878146,1,BANCO,ACTIREN,Ciudad de Mexico,22481.39648,VENTA,MASCULINO,47.22777778,ENROLADO,1/4/2020
95879466,1,BANCO,CUENTA_EJE,Ciudad de Mexico,319370.63,RETIRO,MASCULINO,41.15555556,NO ENROLADO,1/4/2020
95885356,1,BANCO,ALTERNA,Jalisco,159841.2132,COMPRA,MASCULINO,35.61111111,ENROLADO,1/4/2020
95885802,1,BANCO,ALTERNA,Ciudad de Mexico,5186868.206,COMPRA,FEMENINO,49.01944444,ENROLADO,1/4/2020
95889275,2,CASA DE BOLSA,EFECTIVO,Toluca,202224.87,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,40.80555556,ENROLADO,1/4/2020
95910436,1,BANCO,ACTIMED,Jalisco,649082.9687,VENTA,FEMENINO,71.23055556,ENROLADO,1/4/2020
95919338,1,BANCO,ACTIGOB,Jalisco,20006.21818,VENTA,MASCULINO,43.675,ENROLADO,1/4/2020
95991717,1,BANCO,ALTERNA,Jalisco,212362.4592,VENTA,MASCULINO,21.86666667,ENROLADO,1/4/2020
96014444,2,CASA DE BOLSA,ROBOTIK   ,Jalisco,253508.43,VENTA                                                                                               ,MASCULINO,47.42777778,ENROLADO,1/4/2020
96024674,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,752555.13,VENTA                                                                                               ,MASCULINO,39.25,NO ENROLADO,1/4/2020
96037379,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,338380.97,COMPRA                                                                                              ,MASCULINO,48.25277778,NO ENROLADO,1/4/2020
96050588,1,BANCO,ACTIMED,Saltillo,650342.3752,COMPRA,FEMENINO,26.98888889,ENROLADO,1/4/2020
96061932,1,BANCO,ACTIMED,Jalisco,308501.0532,VENTA,MASCULINO,54.76944444,ENROLADO,1/4/2020
96070230,1,BANCO,ACTIREN,Ciudad de Mexico,107898.7689,COMPRA,FEMENINO,36.35555556,ENROLADO,1/4/2020
96084090,1,BANCO,ACTIMED,Tuxtla Gutierrez,2989504.941,VENTA,MASCULINO,77.79722222,NO ENROLADO,1/4/2020
96087416,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1624569.74,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,63.00555556,ENROLADO,1/4/2020
96095104,1,BANCO,ACTICOB,Aguascalientes,728827.9932,COMPRA,MASCULINO,18.89166667,ENROLADO,1/4/2020
96099643,2,CASA DE BOLSA,DLRTRAC   ,Ciudad de Mexico,498465.42,COMPRA                                                                                              ,MASCULINO,60.20555556,ENROLADO,1/4/2020
96108493,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,340071.29,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,32.80555556,ENROLADO,1/4/2020
96135967,1,BANCO,ACTIMED,Toluca,413597.7451,VENTA,MASCULINO,50.4,ENROLADO,1/4/2020
90047267,2,CASA DE BOLSA,EFECTIVO,Toluca,1697127.125,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,87.33888889,NO ENROLADO,2/3/2020
90439043,1,BANCO,ACTIMED,Jalisco,40467.3765,COMPRA,MASCULINO,54.16111111,ENROLADO,2/3/2020
90468059,1,BANCO,ACTIMED,Ciudad de Mexico,945433.847,VENTA,MASCULINO,68.78055556,ENROLADO,2/3/2020
90530031,1,BANCO,ACTVIDA,Jalisco,297224.03,VENTA,MASCULINO,39.16666667,ENROLADO,2/3/2020
90611609,1,BANCO,ALTERNA,Ciudad de Mexico,1304763.3,VENTA,MASCULINO,65.28333333,ENROLADO,2/3/2020
90661588,1,BANCO,ACTIMED,Ciudad de Mexico,961462.5495,VENTA,MASCULINO,91.09722222,ENROLADO,2/3/2020
90837634,1,BANCO,CUENTA_EJE,Jalisco,1890397.31,DEPOSITO,FEMENINO,55.19722222,ENROLADO,2/3/2020
90881095,1,BANCO,ALTERNA,Ciudad de Mexico,1623661.656,VENTA,FEMENINO,80.78055556,ENROLADO,2/3/2020
90882333,1,BANCO,ACTIMED,Aguascalientes,386350.85,VENTA,MASCULINO,67.89166667,NO ENROLADO,2/3/2020
90925520,1,BANCO,ALTERNA,Toluca,500396.333,VENTA,FEMENINO,58.32222222,NO ENROLADO,2/3/2020
90935776,1,BANCO,ACTIMED,Ciudad de Mexico,4824724.527,VENTA,FEMENINO,62.76388889,ENROLADO,2/3/2020
91073478,1,BANCO,IMPULSA,Ciudad de Mexico,524471.0302,COMPRA,FEMENINO,77.03055556,NO ENROLADO,2/3/2020
91150532,1,BANCO,PROTEGE,Toluca,681184.5986,COMPRA,MASCULINO,47.56666667,ENROLADO,2/3/2020
91332635,1,BANCO,CUENTA_EJE,Ciudad de Mexico,0,RETIRO,FEMENINO,64.78888889,ENROLADO,2/3/2020
91451179,1,BANCO,ALTERNA,Ciudad de Mexico,864060.6712,VENTA,FEMENINO,46.61944444,ENROLADO,2/3/2020
91635391,1,BANCO,IMPULSA,Ciudad de Mexico,282971.22,VENTA,MASCULINO,48.60277778,ENROLADO,2/3/2020
91715995,1,BANCO,ACTIMED,Ciudad de Mexico,379214.1566,VENTA,FEMENINO,73.375,NO ENROLADO,2/3/2020
91722082,1,BANCO,CUENTA_EJE,Ciudad de Mexico,399879.5173,RETIRO,FEMENINO,86.01944444,NO ENROLADO,2/3/2020
91876565,1,BANCO,ACTIMED,Jalisco,379848.0796,VENTA,FEMENINO,60.11666667,ENROLADO,2/3/2020
91943985,1,BANCO,ALTERNA,Jalisco,143736.1993,VENTA,FEMENINO,56.63611111,NO ENROLADO,2/3/2020
92043926,1,BANCO,EVEREST,Ciudad de Mexico,23588.94254,VENTA,FEMENINO,81.75555556,NO ENROLADO,2/3/2020
92050079,1,BANCO,ALTERNA,Ciudad de Mexico,596371.8886,VENTA,FEMENINO,59.30555556,ENROLADO,2/3/2020
92096379,1,BANCO,ACTIMED,Jalisco,211801.8998,VENTA,FEMENINO,57.86111111,NO ENROLADO,2/3/2020
92106996,1,BANCO,ALTERNA,Ciudad de Mexico,1195201.656,VENTA,FEMENINO,76.35833333,NO ENROLADO,2/3/2020
92287762,1,BANCO,ACTIMED,Ciudad de Mexico,95006.65385,COMPRA,FEMENINO,61.24444444,ENROLADO,2/3/2020
92352418,1,BANCO,CUENTA_EJE,Ciudad de Mexico,202757.6224,RETIRO,FEMENINO,44.44444444,ENROLADO,2/3/2020
92534825,1,BANCO,IMPULSA,Jalisco,308725.8794,VENTA,MASCULINO,67.51111111,NO ENROLADO,2/3/2020
92748888,1,BANCO,ACTIMED,Ciudad de Mexico,707974.2469,VENTA,FEMENINO,48.3,ENROLADO,2/3/2020
92776889,1,BANCO,CUENTA_EJE,Toluca,660417.9168,RETIRO,FEMENINO,58.54444444,ENROLADO,2/3/2020
92817709,1,BANCO,ACTIMED,Ciudad de Mexico,208646.6096,COMPRA,FEMENINO,36.71388889,ENROLADO,2/3/2020
92890698,1,BANCO,ACTIMED,Jalisco,242628.476,VENTA,FEMENINO,62.94722222,NO ENROLADO,2/3/2020
92988666,1,BANCO,ACTIMED,Jalisco,306167.4002,VENTA,MASCULINO,79.18611111,NO ENROLADO,2/3/2020
93199529,1,BANCO,ACTIMED,Ciudad de Mexico,776506.893,VENTA,FEMENINO,84.58888889,NO ENROLADO,2/3/2020
93220069,1,BANCO,IMPULSA,Ciudad de Mexico,132833.9241,COMPRA,FEMENINO,50.45,NO ENROLADO,2/3/2020
93339042,1,BANCO,SNX,Ciudad de Mexico,712593.7812,COMPRA,MASCULINO,46.93055556,ENROLADO,2/3/2020
93385037,1,BANCO,EVEREST,Toluca,8918.01,VENTA,MASCULINO,45.50555556,NO ENROLADO,2/3/2020
93388510,1,BANCO,ACTIMED,Jalisco,12218.5202,VENTA,FEMENINO,71.31111111,NO ENROLADO,2/3/2020
93391365,1,BANCO,CUENTA_EJE,Monterrey,21466384.11,DEPOSITO,FEMENINO,48.01388889,ENROLADO,2/3/2020
93460525,1,BANCO,ACTIMED,Ciudad de Mexico,79642.40673,VENTA,MASCULINO,62.91944444,NO ENROLADO,2/3/2020
93670743,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,92490.84,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,52.84722222,ENROLADO,2/3/2020
93674703,1,BANCO,ACTIVAR,Toluca,17015094.53,COMPRA,MASCULINO,51.82222222,ENROLADO,2/3/2020
93676732,1,BANCO,ACTIREN,Leon,182266.1894,VENTA,FEMENINO,42.30277778,NO ENROLADO,2/3/2020
93756252,1,BANCO,EVEREST,Jalisco,180663.0844,COMPRA,MASCULINO,62.26666667,NO ENROLADO,2/3/2020
93820876,1,BANCO,ACTIGOB,Jalisco,394552.6077,VENTA,MASCULINO,59.825,ENROLADO,2/3/2020
93837755,1,BANCO,CUENTA_EJE,Ciudad de Mexico,3068640.735,RETIRO,FEMENINO,54.73611111,NO ENROLADO,2/3/2020
93878478,1,BANCO,ACTIMED,Jalisco,817494.2035,VENTA,FEMENINO,67.16111111,NO ENROLADO,2/3/2020
93909976,1,BANCO,CUENTA_EJE,Ciudad de Mexico,1150914.627,RETIRO,MASCULINO,72.49444444,ENROLADO,2/3/2020
93923258,1,BANCO,ACTIREN,Ciudad de Mexico,196234.7013,COMPRA,FEMENINO,55.25,ENROLADO,2/3/2020
93973816,1,BANCO,IMPULSA,Jalisco,1055718.74,VENTA,FEMENINO,81.52222222,NO ENROLADO,2/3/2020
93975555,1,BANCO,ACTIMED,Tijuana,15129.6281,COMPRA,FEMENINO,43.775,ENROLADO,2/3/2020
94040722,1,BANCO,ACTIMED,Ciudad de Mexico,194570.9041,COMPRA,MASCULINO,37.91666667,ENROLADO,2/3/2020
94236106,1,BANCO,ACTIMED,Jalisco,420341.1245,VENTA,FEMENINO,86.65277778,NO ENROLADO,2/3/2020
94370442,1,BANCO,IMPULSA,Jalisco,360529.4176,VENTA,FEMENINO,67.90277778,NO ENROLADO,2/3/2020
94461621,1,BANCO,IMPULSA,Jalisco,1627094.225,VENTA,FEMENINO,56.29166667,NO ENROLADO,2/3/2020
94794708,1,BANCO,ACTIMED,Ciudad de Mexico,121046.6528,COMPRA,FEMENINO,51.64444444,NO ENROLADO,2/3/2020
95157657,1,BANCO,ACTIPLU,Jalisco,52604.74145,VENTA,FEMENINO,72.03611111,ENROLADO,2/3/2020
95170023,1,BANCO,ALTERNA,Ciudad de Mexico,75396.07564,VENTA,MASCULINO,67.91111111,ENROLADO,2/3/2020
95201497,1,BANCO,MAXIMO,Morelia,305826.4578,VENTA,FEMENINO,68.68333333,ENROLADO,2/3/2020
95476537,1,BANCO,ACTIMED,Aguascalientes,180875.2506,VENTA,MASCULINO,56.17777778,ENROLADO,2/3/2020
95623260,1,BANCO,CUENTA_EJE,Jalapa,1152.02,RETIRO,MASCULINO,40.95,ENROLADO,2/3/2020
95750584,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,102947.04,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,49.41666667,ENROLADO,2/3/2020
95806543,1,BANCO,ACTIMED,Jalisco,298611.0364,VENTA,MASCULINO,53.99444444,ENROLADO,2/3/2020
95882460,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,60533.68,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,42.37222222,ENROLADO,2/3/2020
95930608,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,306856.18,VENTA                                                                                               ,MASCULINO,41.56944444,ENROLADO,2/3/2020
95967253,1,BANCO,ALTERNA,Jalisco,617218.6556,VENTA,FEMENINO,75.02777778,NO ENROLADO,2/3/2020
95969499,1,BANCO,CUENTA_EJE,Jalisco,2193966.665,RETIRO,MASCULINO,75.99722222,NO ENROLADO,2/3/2020
95999223,1,BANCO,ACTIMED,Toluca,162903.2225,VENTA,FEMENINO,36.63611111,ENROLADO,2/3/2020
96051842,1,BANCO,ACTIMED,Jalisco,180251.0216,VENTA,MASCULINO,36.63055556,ENROLADO,2/3/2020
96199377,1,BANCO,SNX,Jalisco,616956.7021,VENTA,FEMENINO,40.30277778,ENROLADO,2/3/2020
90000530,1,BANCO,CUENTA_EJE,Ciudad de Mexico,15645.17,DEPOSITO,FEMENINO,51.20277778,ENROLADO,2/4/2020
90001249,1,BANCO,ACTIMED,Ciudad de Mexico,875672.8559,VENTA,FEMENINO,49.8,ENROLADO,2/4/2020
90001264,1,BANCO,CUENTA_EJE,Ciudad de Mexico,3159.73,RETIRO,FEMENINO,36.21666667,ENROLADO,2/4/2020
90001389,1,BANCO,ACTIMED,Ciudad de Mexico,20361791.11,VENTA,MASCULINO,62.09166667,ENROLADO,2/4/2020
90027467,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,77975.43,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,50.91944444,ENROLADO,2/4/2020
90082314,2,CASA DE BOLSA,EFECTIVO,Aguascalientes,1413199.6,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,82.97777778,NO ENROLADO,2/4/2020
90172842,1,BANCO,CUENTA_EJE,Cuernavaca,558228.22,RETIRO,MASCULINO,74.87777778,NO ENROLADO,2/4/2020
90226713,1,BANCO,CUENTA_EJE,Monterrey,17910097.51,RETIRO,MASCULINO,56.41388889,ENROLADO,2/4/2020
90426644,1,BANCO,ALTERNA,Ciudad de Mexico,4191.72,VENTA,FEMENINO,40.75833333,ENROLADO,2/4/2020
90470402,1,BANCO,ALTERNA,Ciudad de Mexico,1128679.106,COMPRA,FEMENINO,52.375,ENROLADO,2/4/2020
90479767,1,BANCO,ACTIMED,Queretaro,77020.07881,VENTA,FEMENINO,83.48055556,NO ENROLADO,2/4/2020
90521188,1,BANCO,ACTIMED,Jalisco,267738.1062,VENTA,MASCULINO,28.88333333,ENROLADO,2/4/2020
90577974,1,BANCO,ACTIGOB,Jalisco,7096794.709,VENTA,FEMENINO,62.61944444,ENROLADO,2/4/2020
90611005,1,BANCO,ACTIMED,Jalisco,190723.7799,COMPRA,FEMENINO,71.32222222,NO ENROLADO,2/4/2020
90612987,1,BANCO,ACTIMED,Jalisco,248412.7393,COMPRA,MASCULINO,40.19722222,NO ENROLADO,2/4/2020
90616426,1,BANCO,ACTIMED,Toluca,247433.3333,VENTA,FEMENINO,82.24444444,NO ENROLADO,2/4/2020
90728411,1,BANCO,ACTIMED,Ciudad de Mexico,2204878.478,VENTA,FEMENINO,67.50555556,ENROLADO,2/4/2020
90807165,1,BANCO,ACTICRE,Leon,220708.6515,VENTA,FEMENINO,41.925,ENROLADO,2/4/2020
90898297,1,BANCO,ACTIMED,Ciudad de Mexico,118799.9575,VENTA,MASCULINO,33.80277778,ENROLADO,2/4/2020
90929167,2,CASA DE BOLSA,MAXIMO    ,Jalisco,3779996.481,VENTA                                                                                               ,MASCULINO,51.85555556,ENROLADO,2/4/2020
90937855,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,703543.62,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,59.56388889,ENROLADO,2/4/2020
90973678,1,BANCO,ACTIREN,Ciudad de Mexico,31761.92462,VENTA,FEMENINO,38.93611111,ENROLADO,2/4/2020
91010090,1,BANCO,ACTIMED,Toluca,12126.85037,VENTA,MASCULINO,56.575,NO ENROLADO,2/4/2020
91042762,1,BANCO,CUENTA_EJE,Ciudad de Mexico,1769521.501,DEPOSITO,MASCULINO,70.42777778,NO ENROLADO,2/4/2020
91222265,1,BANCO,ACTIMED,Ciudad de Mexico,617108.9947,COMPRA,FEMENINO,31.33055556,ENROLADO,2/4/2020
91340869,1,BANCO,IMPULSA,Ciudad de Mexico,395338.2665,VENTA,FEMENINO,51.45555556,NO ENROLADO,2/4/2020
91445361,1,BANCO,ACTIGOB,Ciudad de Mexico,1836166.839,VENTA,MASCULINO,60.825,NO ENROLADO,2/4/2020
91469759,1,BANCO,CUENTA_EJE,Ciudad de Mexico,5081089.667,RETIRO,FEMENINO,83.42222222,NO ENROLADO,2/4/2020
91497180,1,BANCO,ACTIMED,Toluca,103120.1767,VENTA,MASCULINO,63.91944444,ENROLADO,2/4/2020
91552000,1,BANCO,SCOTIAG,Morelia,365390.7363,VENTA,FEMENINO,33.96111111,ENROLADO,2/4/2020
91624817,1,BANCO,ACTIMED,Ciudad de Mexico,369555.9136,VENTA,FEMENINO,86.02777778,ENROLADO,2/4/2020
91642249,1,BANCO,ALTERNA,Ciudad de Mexico,13216.00123,VENTA,FEMENINO,22.225,NO ENROLADO,2/4/2020
